0m: 75px
1m: 74px
2m: 69px
3m: 68px
4m: 68px
5m: 68px
6m: 67px
7m: 65px
8m: 64px
9m: 64px
10m: 64px
11m: 64px
12m: 64px
13m: 64px
14m: 64px
15m: 73px
16m: 73px
17m: 72px
18m: 71px
19m: 71px
20m: 70px
21m: 70px
22m: 70px
23m: 69px
24m: 69px
25m: 67px
26m: 64px
27m: 60px
28m: 58px
29m: 57px
30m: 57px
31m: 56px
32m: 57px
33m: 52px
34m: 51px
35m: 49px
36m: 48px
37m: 47px
38m: 49px
39m: 49px
40m: 49px
41m: 47px
42m: 47px
43m: 47px
44m: 46px
45m: 43px
46m: 28px
47m: 19px
The program 'python.exe' has exited with code 1 (0x1).
